Squad,Shots_Per_90,Shots_On_Target_Per_90
vs Arsenal,9.45,3.08
vs Aston Villa,12.11,4.03
vs Bournemouth,12.71,4.42
vs Brentford,17.0,5.42
vs Brighton,11.0,3.63
vs Chelsea,10.32,3.92
vs Crystal Palace,12.66,3.89
vs Everton,12.58,4.24
vs Fulham,11.29,4.08
vs Ipswich Town,15.82,5.37
vs Leicester City,16.82,5.39
vs Liverpool,10.13,3.58
vs Manchester City,9.24,3.26
vs Manchester Utd,10.82,3.82
vs Newcastle Utd,12.39,4.18
vs Nott'ham Forest,13.89,4.26
vs Southampton,17.68,6.21
vs Tottenham,13.66,4.66
vs West Ham,15.26,4.82
vs Wolves,12.21,4.18
