Squad,Possession,Progressive_Passes_Received_Per90
Arsenal,56.9,47.39
Aston Villa,50.5,35.03
Bournemouth,48.5,38.79
Brentford,47.9,35.24
Brighton,52.3,40.05
Chelsea,57.1,41.47
Crystal Palace,42.8,30.0
Everton,40.9,26.92
Fulham,52.3,40.63
Ipswich Town,40.6,24.21
Leicester City,45.4,28.21
Liverpool,57.7,50.26
Manchester City,61.3,50.53
Manchester Utd,53.5,37.71
Newcastle Utd,51.3,41.66
Nott'ham Forest,41.2,29.39
Southampton,48.5,29.42
Tottenham,54.7,41.63
West Ham,48.4,31.95
Wolves,48.1,31.03
