Squad,Possession,Progressive_Passes_Received_Per90
vs Arsenal,43.1,24.39
vs Aston Villa,49.5,34.0
vs Bournemouth,51.5,33.68
vs Brentford,52.1,40.71
vs Brighton,47.7,31.47
vs Chelsea,42.9,31.32
vs Crystal Palace,57.2,41.21
vs Everton,59.1,42.53
vs Fulham,47.7,36.42
vs Ipswich Town,59.4,44.82
vs Leicester City,54.6,45.68
vs Liverpool,42.3,28.26
vs Manchester City,38.7,23.79
vs Manchester Utd,46.5,30.84
vs Newcastle Utd,48.7,33.16
vs Nott'ham Forest,58.8,49.16
vs Southampton,51.5,43.03
vs Tottenham,45.3,34.63
vs West Ham,51.6,42.37
vs Wolves,51.9,40.05
