Squad,Shots_Per_90,Shots_On_Target_Per_90
Arsenal,14.75,4.75
Aston Villa,11.08,3.5
Bournemouth,13.08,4.67
Brentford,10.08,3.83
Brighton,12.0,4.33
Burnley,8.17,3.08
Chelsea,14.33,5.42
Crystal Palace,11.92,4.08
Everton,10.33,2.92
Fulham,12.08,3.25
Leeds United,12.08,3.42
Liverpool,15.25,4.0
Manchester City,14.0,4.83
Manchester Utd,15.0,4.92
Newcastle Utd,11.58,3.67
Nott'ham Forest,12.08,4.08
Sunderland,9.5,2.58
Tottenham,9.17,3.33
West Ham,9.92,3.75
Wolves,9.33,2.92
