Squad,Shots_Per_90,Shots_On_Target_Per_90
Arsenal,15.29,4.89
Aston Villa,12.13,4.18
Brentford,11.47,3.71
Brighton,12.68,3.71
Burnley,10.66,3.13
Chelsea,15.34,5.26
Crystal Palace,10.63,3.68
Everton,11.32,3.42
Leeds United,12.63,3.74
Leicester City,11.39,4.32
Liverpool,18.97,6.24
Manchester City,18.53,6.24
Manchester Utd,13.24,4.71
Newcastle Utd,11.74,3.74
Norwich City,9.74,2.74
Southampton,12.58,4.24
Tottenham,12.79,4.87
Watford,10.45,3.24
West Ham,11.66,3.74
Wolves,10.55,3.5
