Squad,Shots_Per_90,Shots_On_Target_Per_90
Arsenal,17.03,5.5
Aston Villa,13.45,4.79
Bournemouth,14.18,4.61
Brentford,12.37,4.18
Brighton,14.61,5.21
Burnley,11.32,3.61
Chelsea,14.13,5.11
Crystal Palace,11.89,4.26
Everton,13.26,4.0
Fulham,13.13,4.61
Liverpool,20.55,6.92
Luton Town,11.24,3.53
Manchester City,17.97,6.95
Manchester Utd,14.29,4.79
Newcastle Utd,14.26,5.16
Nott'ham Forest,11.84,3.76
Sheffield Utd,9.47,3.08
Tottenham,15.32,5.45
West Ham,11.71,3.84
Wolves,11.18,4.03
