Squad,Shots_Per_90,Shots_On_Target_Per_90
Arsenal,14.32,4.68
Aston Villa,12.58,4.18
Bournemouth,15.11,5.05
Brentford,11.42,4.55
Brighton,13.84,4.82
Chelsea,15.53,5.34
Crystal Palace,13.47,4.61
Everton,10.63,3.66
Fulham,13.58,4.39
Ipswich Town,9.84,3.16
Leicester City,8.74,2.76
Liverpool,16.82,5.66
Manchester City,15.87,5.47
Manchester Utd,13.79,4.42
Newcastle Utd,13.66,4.29
Nott'ham Forest,12.11,4.26
Southampton,8.97,2.79
Tottenham,12.97,4.66
West Ham,12.45,3.61
Wolves,11.34,4.08
