Team,Possession,Progressive passes
Arsenal,58.3,517
Aston Villa,53.6,428
Bournemouth,52.7,459
Brentford,42.8,297
Brighton,50.1,413
Burnley,39.3,275
Chelsea,58.9,486
Crystal Palace,42.8,376
Everton,44.0,371
Fulham,50.8,426
Leeds United,48.2,374
Liverpool,61.6,632
Manchester City,57.3,472
Manchester Utd,52.0,488
Newcastle Utd,49.7,532
Nott'ham Forest,50.3,501
Sunderland,43.3,350
Tottenham,52.8,408
West Ham,44.2,350
Wolves,47.3,359
