Team,Shot_Creating_Actions_Per90,Goal_Creating_Actions_Per90
vs Arsenal,18.71,1.55
vs Aston Villa,24.68,2.05
vs Brighton,16.45,2.0
vs Burnley,27.0,2.66
vs Chelsea,15.45,1.47
vs Crystal Palace,25.08,2.92
vs Everton,23.45,2.24
vs Fulham,19.76,2.39
vs Leeds United,25.03,2.26
vs Leicester City,17.32,2.16
vs Liverpool,15.29,1.95
vs Manchester City,12.87,1.42
vs Manchester Utd,19.63,1.76
vs Newcastle Utd,27.13,2.84
vs Sheffield Utd,25.82,2.76
vs Southampton,20.18,3.08
vs Tottenham,23.39,2.0
vs West Brom,28.26,3.47
vs West Ham,21.74,2.03
vs Wolves,20.47,2.32
