Squad,Shots_Per_90,Shots_On_Target_Per_90
Arsenal,11.92,3.68
Aston Villa,13.53,4.68
Brighton,12.58,3.53
Burnley,10.03,3.26
Chelsea,14.37,5.08
Crystal Palace,9.08,3.34
Everton,10.39,3.76
Fulham,11.47,3.29
Leeds United,13.63,5.08
Leicester City,12.45,4.47
Liverpool,15.84,5.37
Manchester City,15.53,5.55
Manchester Utd,13.55,5.16
Newcastle Utd,10.26,3.42
Sheffield Utd,8.39,2.42
Southampton,11.0,4.13
Tottenham,11.53,4.39
West Brom,8.82,2.79
West Ham,12.21,4.16
Wolves,12.08,3.92
