Squad,Possession,Progressive_Passes_Received_Per90
vs Arsenal,41.8,24.26
vs Aston Villa,46.9,32.42
vs Bournemouth,55.6,39.08
vs Brentford,54.8,41.26
vs Brighton,40.2,30.66
vs Burnley,52.6,39.11
vs Chelsea,41.4,35.55
vs Crystal Palace,57.7,44.58
vs Everton,59.2,42.74
vs Fulham,49.4,39.95
vs Liverpool,38.7,30.13
vs Luton Town,57.6,39.08
vs Manchester City,34.8,21.63
vs Manchester Utd,49.4,40.95
vs Newcastle Utd,47.8,34.95
vs Nott'ham Forest,59.4,49.55
vs Sheffield Utd,64.2,51.42
vs Tottenham,38.4,28.71
vs West Ham,58.9,52.74
vs Wolves,51.1,45.42
