Squad,Possession,Progressive_Passes_Received_Per90
Arsenal,58.2,54.95
Aston Villa,53.1,37.84
Bournemouth,44.4,34.11
Brentford,45.2,33.58
Brighton,59.8,46.5
Burnley,47.4,30.58
Chelsea,58.6,42.11
Crystal Palace,42.3,30.55
Everton,40.8,29.45
Fulham,50.6,38.21
Liverpool,61.3,55.03
Luton Town,42.4,28.79
Manchester City,65.2,53.47
Manchester Utd,50.6,38.63
Newcastle Utd,52.2,40.66
Nott'ham Forest,40.6,29.55
Sheffield Utd,35.8,23.03
Tottenham,61.6,55.18
West Ham,41.1,31.37
Wolves,48.9,30.61
