Team,Shot_Creating_Actions_Per90,Goal_Creating_Actions_Per90
Arsenal,27.5,3.95
Aston Villa,19.76,2.21
Bournemouth,16.21,1.68
Brentford,18.47,2.58
Brighton,28.29,3.03
Chelsea,22.61,1.79
Crystal Palace,19.63,1.76
Everton,19.34,1.55
Fulham,19.76,2.37
Leeds United,20.61,1.82
Leicester City,19.58,2.29
Liverpool,27.53,3.39
Manchester City,28.92,4.42
Manchester Utd,27.66,2.61
Newcastle Utd,26.53,2.79
Nott'ham Forest,15.61,1.42
Southampton,18.89,1.61
Tottenham,23.95,3.05
West Ham,21.5,1.76
Wolves,18.76,1.16
