Squad,Possession,Progressive_Passes_Received_Per90
Arsenal,59.3,53.26
Aston Villa,49.3,32.29
Bournemouth,40.4,25.95
Brentford,43.8,29.5
Brighton,60.2,48.11
Chelsea,58.7,45.5
Crystal Palace,46.3,32.58
Everton,42.8,27.42
Fulham,48.8,34.63
Leeds United,47.0,37.32
Leicester City,47.7,34.05
Liverpool,60.8,51.95
Manchester City,64.7,54.05
Manchester Utd,53.7,41.53
Newcastle Utd,52.3,42.08
Nott'ham Forest,37.6,22.29
Southampton,44.5,29.26
Tottenham,50.0,37.79
West Ham,42.1,33.32
Wolves,49.9,35.05
