Squad,Shots_Per_90,Shots_On_Target_Per_90
Arsenal,15.5,5.11
Aston Villa,11.24,3.82
Bournemouth,9.42,3.32
Brentford,10.53,3.87
Brighton,15.97,5.76
Chelsea,12.66,3.97
Crystal Palace,11.13,3.5
Everton,11.21,3.76
Fulham,11.05,3.61
Leeds United,12.08,3.71
Leicester City,10.84,3.74
Liverpool,15.82,5.34
Manchester City,15.53,5.39
Manchester Utd,15.53,5.42
Newcastle Utd,14.87,4.84
Nott'ham Forest,9.53,2.92
Southampton,10.87,3.47
Tottenham,13.47,4.89
West Ham,12.26,3.5
Wolves,10.76,3.13
