Team,Shot_Creating_Actions_Per90,Goal_Creating_Actions_Per90
Arsenal,27.11,2.61
Aston Villa,22.03,2.45
Brentford,19.45,2.05
Brighton,22.89,1.89
Burnley,17.74,1.58
Chelsea,28.0,3.55
Crystal Palace,18.71,2.13
Everton,19.53,1.79
Leeds United,21.71,1.74
Leicester City,19.61,2.76
Liverpool,32.87,4.29
Manchester City,33.84,4.16
Manchester Utd,24.13,2.74
Newcastle Utd,19.95,1.84
Norwich City,16.76,0.92
Southampton,21.42,1.87
Tottenham,23.21,3.08
Watford,18.24,1.5
West Ham,20.26,2.68
Wolves,18.21,1.53
