Squad,Possession,Progressive_Passes_Received_Per90
Arsenal,52.8,43.21
Aston Villa,46.5,34.03
Brentford,44.8,30.79
Brighton,54.4,40.24
Burnley,40.2,25.21
Chelsea,61.8,51.47
Crystal Palace,51.1,31.95
Everton,40.0,28.58
Leeds United,52.3,38.61
Leicester City,52.0,35.55
Liverpool,62.7,58.61
Manchester City,67.9,63.21
Manchester Utd,52.7,41.11
Newcastle Utd,40.4,23.97
Norwich City,42.9,26.79
Southampton,47.7,34.58
Tottenham,51.8,38.16
Watford,40.7,27.82
West Ham,47.9,37.82
Wolves,49.5,33.21
