Team,Shot_Creating_Actions_Per90,Goal_Creating_Actions_Per90
Arsenal,31.18,4.0
Aston Villa,24.0,3.39
Bournemouth,25.05,2.18
Brentford,21.16,2.13
Brighton,26.58,2.34
Burnley,19.92,1.95
Chelsea,25.79,3.5
Crystal Palace,20.89,2.71
Everton,22.47,1.58
Fulham,23.08,2.5
Liverpool,36.53,3.45
Luton Town,19.71,2.13
Manchester City,33.13,4.45
Manchester Utd,26.03,2.58
Newcastle Utd,25.87,3.79
Nott'ham Forest,20.61,2.37
Sheffield Utd,15.82,1.26
Tottenham,27.71,3.21
West Ham,20.58,2.74
Wolves,19.55,2.13
