Team,Shot_Creating_Actions_Per90,Goal_Creating_Actions_Per90
Arsenal,25.25,3.67
Aston Villa,19.58,2.25
Bournemouth,23.58,2.83
Brentford,17.58,2.33
Brighton,20.83,2.58
Burnley,14.42,2.0
Chelsea,25.0,3.58
Crystal Palace,20.5,2.17
Everton,18.92,1.92
Fulham,20.83,1.25
Leeds United,19.83,1.33
Liverpool,27.42,2.58
Manchester City,25.17,3.42
Manchester Utd,26.92,2.5
Newcastle Utd,20.92,1.75
Nott'ham Forest,21.5,1.92
Sunderland,16.75,1.92
Tottenham,15.83,2.75
West Ham,17.0,1.67
Wolves,17.0,0.92
