Squad,Possession,Progressive_Passes_Received_Per90
Arsenal,58.3,43.08
Aston Villa,53.6,35.67
Bournemouth,52.7,38.25
Brentford,42.8,24.75
Brighton,50.1,34.42
Burnley,39.3,22.92
Chelsea,58.9,40.5
Crystal Palace,42.8,31.33
Everton,44.0,30.92
Fulham,50.8,35.5
Leeds United,48.2,31.17
Liverpool,61.6,52.67
Manchester City,57.3,39.33
Manchester Utd,52.0,40.67
Newcastle Utd,49.7,44.33
Nott'ham Forest,50.3,41.75
Sunderland,43.3,29.17
Tottenham,52.8,34.0
West Ham,44.2,29.17
Wolves,47.3,29.92
