Squad,Possession,Progressive_Passes_Received_Per90
vs Arsenal,46.8,31.11
vs Aston Villa,53.5,39.45
vs Brentford,55.5,39.92
vs Brighton,45.3,32.89
vs Burnley,60.2,44.58
vs Chelsea,37.7,26.13
vs Crystal Palace,49.1,36.68
vs Everton,60.3,46.89
vs Leeds United,47.5,35.24
vs Leicester City,47.9,38.97
vs Liverpool,36.7,23.63
vs Manchester City,31.5,19.71
vs Manchester Utd,47.1,36.74
vs Newcastle Utd,60.1,44.97
vs Norwich City,57.5,46.21
vs Southampton,52.1,39.03
vs Tottenham,48.0,37.58
vs Watford,59.7,45.58
vs West Ham,52.2,40.05
vs Wolves,50.4,39.53
