Squad,Possession,Progressive_Passes_Received_Per90
Arsenal,53.5,46.0
Aston Villa,48.5,36.92
Brighton,51.1,39.34
Burnley,42.1,26.37
Chelsea,60.9,47.03
Crystal Palace,40.6,29.29
Everton,46.4,30.97
Fulham,49.7,35.21
Leeds United,57.3,42.76
Leicester City,54.3,38.29
Liverpool,62.1,53.71
Manchester City,63.5,53.5
Manchester Utd,55.7,47.82
Newcastle Utd,38.8,23.37
Sheffield Utd,41.7,31.13
Southampton,52.0,31.32
Tottenham,51.6,34.63
West Brom,37.9,26.76
West Ham,43.2,33.26
Wolves,49.3,33.32
