Team,Shot_Creating_Actions_Per90,Goal_Creating_Actions_Per90
Arsenal,21.39,2.5
Aston Villa,24.74,2.47
Brighton,22.29,1.66
Burnley,17.53,1.37
Chelsea,26.79,2.5
Crystal Palace,16.26,1.84
Everton,18.68,2.11
Fulham,20.66,1.24
Leeds United,24.32,2.84
Leicester City,22.71,3.0
Liverpool,28.11,2.89
Manchester City,28.08,3.71
Manchester Utd,25.08,3.34
Newcastle Utd,18.11,1.97
Sheffield Utd,14.92,0.71
Southampton,19.16,2.18
Tottenham,20.68,3.16
West Brom,14.95,1.39
West Ham,21.66,2.79
Wolves,21.61,1.66
